,e537042,e22282b,p414000_g1D,p407050_g1D,p400070_g1D,p400090_g1D,t27111s,t400000_g1D,teacher_changed_state
e537042,1.0,0.13598446157179558,0.02281828729729365,0.018846446160515545,-0.001190574564619789,0.01628739101259883,0.013894417686145796,0.05747683028198062,0.04272593117116098
e22282b,0.13598446157179558,1.0,0.02199986596580793,-0.011472894724665124,0.01589903935436255,-0.013937707443134266,0.0032492016098501944,0.04232996209774774,0.17830307610378907
p414000_g1D,0.02281828729729365,0.02199986596580793,1.0,0.42667576185871986,0.2808421643619405,0.24732252045894762,0.01773949319194021,0.2713030985509221,-0.021432064910099125
p407050_g1D,0.018846446160515545,-0.011472894724665124,0.42667576185871986,1.0,0.31865529208599874,0.2654902685999428,0.05188654221100394,0.34685371361448714,-0.015107994771210545
p400070_g1D,-0.001190574564619789,0.01589903935436255,0.2808421643619405,0.31865529208599874,1.0,0.4523722306444459,-0.003420992547397736,0.02783936756098711,0.001308944190445753
p400090_g1D,0.01628739101259883,-0.013937707443134266,0.24732252045894762,0.2654902685999428,0.4523722306444459,1.0,-0.013041540209518447,0.02120909063301582,-0.02995325225664812
t27111s,0.013894417686145796,0.0032492016098501944,0.01773949319194021,0.05188654221100394,-0.003420992547397736,-0.013041540209518447,1.0,0.035377716576402624,-0.0011117854538978105
t400000_g1D,0.05747683028198062,0.04232996209774774,0.2713030985509221,0.34685371361448714,0.02783936756098711,0.02120909063301582,0.035377716576402624,1.0,-0.0316955570853794
teacher_changed_state,0.04272593117116098,0.17830307610378907,-0.021432064910099125,-0.015107994771210545,0.001308944190445753,-0.02995325225664812,-0.0011117854538978105,-0.0316955570853794,1.0
