var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes
p401100,Citizenship Respondent,,pParent,pParent,2361.0,categorical,"yes/yes, in the meantime Iíve; no; Question erroneously not asked",1.0,0.0,,,,,,,,,,,
p731801,Highest educational qualification Respondent in Germany,,pParent,pParent,2373.0,effect code,yes; no; no school-leaving qualification,1.0,0.0,,,,,,,,,,,
p731802_g3,Highest educational qualification Respondent (education years = fCASMIN),,pParent,pParent,2380.0,continuous,no qualification,1.0,0.0,,,,,,,,,,,
p731813,(Highest) professional qualification Respondent,,pParent,pParent,2394.0,categorical,"completed apprenticeship (administrative, company‐based, industrial, agricultural) journey‐ man’s/journeywoman’s certificate, dual vocational education, GDR: craft certificate;
master craftsman/craftswoman, technician certificate;
civil service training (civil service examination);
certificate from a school of public health;
certificate from a Berufsfachschule [vocational school] or a Handelsschule [type of vocational school for commercial professions];
certificate from a Fachschule (also certificate from a Fachakademie [school‐based institutions of profes‐ sional development in Bavaria]);
leaving qualification from a Fachschule in the GDR; Bachelor (e.g. B.A., B.Sc.);
Diploma, Master (M.A.);
Magister, state examination;
doctorate, habilitation;
Berufsakademie [university of cooperative education], cooperative state university without further specifi‐ cation;
college of public administration without further specification;
university of applied sciences, former college of engineering without further specification; university without further specification; higher education degree (degree course) without further specification",1.0,0.0,,,,,,,,,,,
p731901,Employment Respondent,,pParent,pParent,2402.0,categorical,full-time employed; part-time employed; in a side job; unemployed,1.0,0.0,,,,,,,,,,,
p731904_g14,Occupation Respondent (ISEI-08),,pParent,pParent,2424.0,continuous,,1.0,0.0,,,,,,p731904,1.0,,,,
p731905,Professional status Respondent,,pParent,pParent,2430.0,categorical,"worker; employee, also civil service employees; civil servant, including judge, excluding; regular/professional soldier; self-employed; assisting family member; freelancer",1.0,0.0,,,,,,,,,,,
p731912,Management position Respondent,,pParent,pParent,2438.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p731915,Government benefits Respondent,,pParent,pParent,2445.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p731110,Respondentís marital status,,pParent,pParent,2446.0,categorical,"married and live with your; married and live apart from; divorced,; widowed,; single,; or do you live in",1.0,0.0,,,,,,,,,,,
p73175y,Year of birth Partner,,pParent,pParent,2459.0,date_year,,1.0,0.0,,,,,,,,,,,
p731851,Highest educational qualification Partner in Germany,,pParent,pParent,2489.0,effect code,yes; no; no school-leaving qualification,1.0,0.0,,,,,,,,,,,
p731852_g3,Highest educational qualification Partner (education years = fCASMIN),,pParent,pParent,2496.0,continuous,no qualification,1.0,0.0,,,,,,,,,,,
p731951,Employment Partner,,pParent,pParent,2518.0,categorical,full-time employed; part-time employed; in a side job; unemployed,1.0,0.0,,,,,,,,,,,
p731955,Professional status Partner,,pParent,pParent,2547.0,categorical,"worker; employee, also civil service employees; civil servant, including judge, excluding; regular/professional soldier; self-employed; assisting family member; freelancer",1.0,0.0,,,,,,,,,,,
p731965,Government benefits Partner,,pParent,pParent,2562.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p413050,Bilinguality Interviewed parent (auto variable),,pParent,pParent,2577.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p410040,German language Child (auto variable),,pParent,pParent,2589.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p410050,Bilingualism Child (auto variable),,pParent,pParent,2590.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p414050,Bilingualism Partner (auto variable),,pParent,pParent,2598.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
p34001a_g1,"Frequency reading - free time, working day (summarized)",,pParent,pParent,2684.0,continuous,,1.0,0.0,,,,,,,,,,,
p34001c_g1,"Frequency reading - free time, non-working day (summarized)",,pParent,pParent,2686.0,continuous,,1.0,0.0,,,,,,,,,,,
p742001,Persons under the age of 14 in the household,,pParent,pParent,2700.0,continuous,,1.0,0.0,,,,,,,,,,,
p286711,Satisfaction school - school hours,,pParent,pParent,2721.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,
p286712,Satisfaction school - equipment and rooms,,pParent,pParent,2722.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,
p286713,Satisfaction school - meet childís needs,,pParent,pParent,2723.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,
p286714,Satisfaction school - performance demands,,pParent,pParent,2724.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,
p286715,Satisfaction school - general,,pParent,pParent,2725.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,
p751001_g1,Place of residence (west/east),,pParent,pParent,2726.0,categorical,West Germany; East Germany incl. Berlin; abroad; changing locations,1.0,0.0,,,,,,,,,,,
t523010,Days absent due to illness,,pTarget,pTarget,3464.0,continuous,,1.0,0.0,,,,,,,,,,,
t291300,Filter question: Transition from elementary school,,pTarget,pTarget,3466.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t292301,"Comparison to elementary school, lessons are more fun",,pTarget,pTarget,3467.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t292302,"Comparison to elementary school, feel more comfortable in new class",,pTarget,pTarget,3468.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t292303,"Comparison to elementary school, like classmates more",,pTarget,pTarget,3469.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t292304,"Comparison to elementary school, Iím more popular",,pTarget,pTarget,3470.0,continuous,does not apply at; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t292305,"Comparison to elementary school, subjects are easier",,pTarget,pTarget,3471.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t292306,"Comparison to elementary school, I like teachers more",,pTarget,pTarget,3472.0,continuous,does not apply at; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
t34006i,HOMEPOS: own books,,pTarget,pTarget,3473.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t66003a_g1,Global self-esteem,,pTarget,pTarget,6337.0,continuous,,1.0,0.0,,,,,,,,,,,
t27111s,"Courses outside School: other courses, specifically:",,pTarget,pTarget,3477.0,effect code,not specified; specified,1.0,0.0,,,,,,,,,,,
t283621,"Student: homework, parental support, checking",,pTarget,pTarget,4132.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t283622,"Student: homework, parental support, having time",,pTarget,pTarget,4133.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t283623,"Student: homework, parental support, making sure homework is done",,pTarget,pTarget,4134.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t284624,"Student: homework, parental support, help with bad grades",,pTarget,pTarget,4135.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t285627,"Student: homework, parental support, expectation",,pTarget,pTarget,4136.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t284625,"Student: homework, parental support, encouragement",,pTarget,pTarget,4137.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t284626,"Student: homework, parental support, talk",,pTarget,pTarget,4138.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t285628,"Student: homework, parental support, understand subject matter",,pTarget,pTarget,4139.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t285629,"Student: homework, parental support, expect. regard. studying for class tests",,pTarget,pTarget,4140.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t281600,"Student: homework, duration",,pTarget,pTarget,4147.0,continuous,less than half an hour; about half an hour to; about 1 to 2 hours; about 2 to 3 hours; about 3 to 4 hours; more than 4 hours per,1.0,0.0,,,,,,,,,,,
t28161a,"Student: homework, frequency help from parents",,pTarget,pTarget,4148.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,
t28161b,"Student: homework, frequency help from siblings",,pTarget,pTarget,4149.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,
t28161c,Student: homework: frequency help from friends/classmates,,pTarget,pTarget,4150.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,
t31035a,Idealistic educational aspiration - highest school-leaving qualification,,pTarget,pTarget,4153.0,categorical,Hauptschulabschluss; Realschulabschluss/Mittlere Reife; Abitur; Leave school without qualification,1.0,0.0,,,,,,,,,,,
td0001a,Learning how to spell interesting,,pTarget,pTarget,4159.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
td0001b,Spelling is difficult,,pTarget,pTarget,4160.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
td0002a_v1,Time required learning spelling,,pTarget,pTarget,4161.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,
td0002b_v1,Importance spelling performance for school-leaving qualification,,pTarget,pTarget,4163.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,
td0002c_v1,Importance spelling performance for profession,,pTarget,pTarget,4165.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,
td0002d_v1,Importance spelling performance for private life,,pTarget,pTarget,4167.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,
td0003a,Grade for next dictation is going to be good,,pTarget,pTarget,4169.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
td0003b,Spelling when writing texts good,,pTarget,pTarget,4170.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,
td0004a_v1,Spelling more difficult than for classmates,,pTarget,pTarget,4171.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0004b_v1,Spelling more difficult than understanding texts,,pTarget,pTarget,4173.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0004c_v1,Spelling more difficult than writing texts,,pTarget,pTarget,4175.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0004d_v1,Spelling more difficult than grammar,,pTarget,pTarget,4177.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0005a,Spelling - learning - good grade,,pTarget,pTarget,4179.0,continuous,very little; rather little; rather much; very much,1.0,0.0,,,,,,,,,,,
td0005b,Spelling - learning - good German grade,,pTarget,pTarget,4180.0,continuous,very little; rather little; rather much; very much,1.0,0.0,,,,,,,,,,,
td0006a_v1,Spelling words correctly: Rules,,pTarget,pTarget,4181.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0006b_v1,Spelling words correctly: Pronounce clearly to myself,,pTarget,pTarget,4183.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0006c_v1,Spelling words correctly: Write by heart,,pTarget,pTarget,4185.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0006d_v1,Spelling words correctly: Guess,,pTarget,pTarget,4187.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0006e_v1,Spelling words correctly: Refer to dictionary,,pTarget,pTarget,4189.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
td0006f_v1,Spelling words correctly: Computer spell checking,,pTarget,pTarget,4191.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,
t34010a,Discussions with father/mother: books,,pTarget,pTarget,4258.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34010b,Discussions with father/mother: movies or TV shows,,pTarget,pTarget,4259.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34010c,Discussions with father/mother: political or social issues,,pTarget,pTarget,4260.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34010d,Discussions with father/mother: artwork or art in general,,pTarget,pTarget,4261.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34006a,HOMEPOS: desk,,pTarget,pTarget,4262.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006b,HOMEPOS: room,,pTarget,pTarget,4263.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006c,HOMEPOS: learning software,,pTarget,pTarget,4264.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006e,HOMEPOS: books with poems,,pTarget,pTarget,4266.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006f,HOMEPOS: works of art (e.g. paintings),,pTarget,pTarget,4267.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006g,HOMEPOS: books for homework,,pTarget,pTarget,4268.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34006h,HOMEPOS: dictionary,,pTarget,pTarget,4269.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t34001a,Frequency reading - school day,,pTarget,pTarget,4271.0,continuous,Ö not at all outside; Ö up to half an; Ö between half an hour; Ö 1 to 2 hours.; Ö more than 2 hours.,1.0,0.0,,,,,,,,,,,
t34001c,Frequency reading - non-school day,,pTarget,pTarget,4272.0,continuous,Ö not at all.; Ö up to half an; Ö between half an hour; Ö 1 to 2 hours.; Ö more than 2 hours.,1.0,0.0,,,,,,,,,,,
t34002a,"Frequency reading (genre): detective novels, thrillers, horror or fantasy",,pTarget,pTarget,4273.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34002b,Frequency reading (genre): classic literature,,pTarget,pTarget,4274.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34002c,Frequency reading (genre): nonfiction books,,pTarget,pTarget,4275.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34002d,Frequency reading (genre): comics,,pTarget,pTarget,4276.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34002e,_g1 Frequency reading (genre): youth literature,,pTarget,pTarget,4229.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34003a,Frequency reading (periodicals): local newspaper,,pTarget,pTarget,4278.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34003b,"Frequency reading (periodicals): tabloids (such as BILD, BZ)",,pTarget,pTarget,4279.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34003c,Frequency reading (periodicals): youth pages in other supraregional papers,,pTarget,pTarget,4280.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34003d,"Frequency reading (periodicals): magazines (such as SPIEGEL, FOCUS Schule)",,pTarget,pTarget,4281.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34003e,"Frequency reading (periodicals): other youth magazines (such as Bravo, Popcorn)",,pTarget,pTarget,4282.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,
t34005a,Number of books,,pTarget,pTarget,4283.0,continuous,0 to 10 books; 11 to 25 books; 26 to 100 books; 101 to 200 books; 201 to 500 books; more than 500 books,1.0,0.0,,,,,,,,,,,
t41010a_g1,Mother: Mother tongue (number of specifications),,pTarget,pTarget,4419.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,
t41012a_g1,Father: Mother tongue (number of specifications),,pTarget,pTarget,4432.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,
t410010_g1,Second language (number of specifications),,pTarget,pTarget,4710.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,
t41000a_g1,Mother tongue (number references),,pTarget,pTarget,5076.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,
t400500_g1v1,Generation status,,pTarget,pTarget,5862.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,
t400500_g1,v1 Generation status,,pTarget,pTarget,5862.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,
t400500_g2,v1 Missing/contradicting imformation about country of birth for generation status,,pTarget,pTarget,5864.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,
t521000,Self-rated health,,pTarget,pTarget,6606.0,continuous,very good; good; moderate; poor; very poor,1.0,0.0,,,,,,,,,,,
t74305a,"Household composition: biological, adoptive, foster mother",,pTarget,pTarget,6091.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305b,Household composition: stepmother or fatherís girlfriend,,pTarget,pTarget,6092.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305c,"Household composition: biological father, adoptive father, foster father",,pTarget,pTarget,6093.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305d,Household composition: stepfather or motherís boyfriend,,pTarget,pTarget,6094.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305e,Household composition: siblings and/or step siblings,,pTarget,pTarget,6095.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305f,Household composition: grandmother and/or grandfather,,pTarget,pTarget,6096.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t74305g,Household composition: other people,,pTarget,pTarget,6097.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
t741002,Size of household,,pTarget,pTarget,6098.0,continuous,,1.0,0.0,,,,,,,,,,,
t724101,Grade Annual report card - German,,pTarget,pTarget,6100.0,continuous,very good (1); good (2); satisfactory (3); sufficient (4); inadequate (5); unsatisfactory (6); no grade received,1.0,0.0,,,,,,,,,,,
t724102,Grade Annual report card - Mathematics,,pTarget,pTarget,6101.0,continuous,very good (1); good (2); satisfactory (3); sufficient (4); inadequate (5); unsatisfactory (6); no grade received,1.0,0.0,,,,,,,,,,,
t261000,Student: sport activity: frequency,,pTarget,pTarget,5089.0,continuous,never; once a month or less; several times a month or; several times a week; almost daily or daily,1.0,0.0,,,,,,,,,,,
t269000,Student: sport activity: where/what,,pTarget,pTarget,6298.0,categorical,"Club;
School (outside classes such as sport workshop);
Riding school, tennis school, martial arts school, dancing school, gym or similar;
Volkshochschule (VHS);
Togetherwithothers,but not in an organization; By myself; Filtered",1.0,0.0,,,,,,,,,,,
t27111a,Students: courses outside the school: music school classes,,pTarget,pTarget,6299.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,
t27111b,Courses outside the school - Volkshochschule (VHS),,pTarget,pTarget,6301.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,
t27111c,Course; youth art school,,pTarget,pTarget,6303.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,
t731130,Role of mother,,pTarget,pTarget,3474.0,categorical,"my biological mother; my stepmother;
my adoptive mother; my foster mother; my father’s girlfriend;
another woman;
I don’t have a mother(anymore)/I don’t know her;
I don’t have a mother (anymore)/I don’t know her",1.0,0.0,,,,,,,,,,,
t731140,Role of father,,pTarget,pTarget,3475.0,categorical,"my biological father; my stepfather;
my adoptive father;
my foster father;
my mother’s boyfriend;
another man;
I don’t have a father (anymore)/I don’t know him;
I don’t have a father (anymore)/I don’t know him",1.0,0.0,,,,,,,,,,,
t66000a_g1,Self concept: German,,pTarget,pTarget,6364.0,continuous,,1.0,0.0,,,,,,,,,,,
t66001a_g1,Self concept: math,,pTarget,pTarget,6368.0,continuous,,1.0,0.0,,,,,,,,,,,
t66002a_g1,Self concept school,,pTarget,pTarget,6372.0,continuous,,1.0,0.0,,,,,,,,,,,
t700031,Gender,,pTarget,pTarget,5128.0,effect code,[m] male; [w] female,1.0,0.0,,,,,,,,,,,
t514001,Satisfaction with life,,pTargetCORONA,pTarget,2747.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,
t514002,Satisfaction with standard of living,,pTargetCORONA,pTarget,2748.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,
t514003,Satisfaction with health,,pTargetCORONA,pTarget,2749.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,
t514004,Satisfaction with family life,,pTargetCORONA,pTarget,2750.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,
t514005,Satisfaction with acquaintances and friends,,pTargetCORONA,pTarget,2751.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,
t514006,Satisfaction with school,,pTarget,pTarget,5141.0,continuous,completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; completely satisfied,1.0,0.0,,,,,,,,,,,
dgg5_sc3a,DGCF (perceptual speed): sum,,xTargetCompetencies,xTargetCompetencies,9015.0,continuous,,1.0,0.0,,,,,,,,,,,
dgg5_sc3b,DGCF (reasoning): sum,,xTargetCompetencies,xTargetCompetencies,9017.0,continuous,,1.0,0.0,,,,,,,,,,,
mag5_sc1,u Mathematical competence: WLE (uncorrected),,xTargetCompetencies,xTargetCompetencies,9018.0,continuous,,1.0,0.0,,,,,,,,,,,
reg5_sc1u,Reading comprehension: WLE,,xTargetCompetencies,Baseline,9113.0,continuous,,1.0,0.0,,,,,,,,,,,
rsg5_sc3,Reading speed sum,,xTargetCompetencies,xTargetCompetencies,9172.0,continuous,,1.0,0.0,,,,,,,,,,,
org5_sc1b,Orthography (set 2): WLE (corrected),,xTargetCompetencies,xTargetCompetencies,9388.0,continuous,,1.0,0.0,,,,,,,,,,,
mpg5re_sc6,Procedural metacognition (reading total): proportion correct,,xTargetCompetencies,xTargetCompetencies,9029.0,continuous,,1.0,0.0,,,,,,,,,,,
mpg5ma_sc6,Procedural metacognition (mathematics): proportion correct,,xTargetCompetencies,xTargetCompetencies,9048.0,continuous,,1.0,0.0,,,,,,,,,,,
mpg5or01_sc6,Procedural metacognition (orthography set 1): proportion correct,,xTargetCompetencies,xTargetCompetencies,9052.0,continuous,,1.0,0.0,,,,,,,,,,,
