var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes,Final Groups
p261100,Private tutoring - panel questions - occurrence,,pParent,Home,2248.0,effect code,yes; no; child receives tutoring irregularly,1.0,0.0,,,,,,,,,,,,Home
pd0200u,Support - Frequency: purchasing additional study materials for TC,,pParent,Home,2265.0,continuous,never; rarely; sometimes; often,1.0,0.0,,,,,,,,,,,,Home
pd0300u,Support - Frequency: look together with TC for information on the internet,,pParent,Home,2266.0,continuous,never; rarely; sometimes; often; no internet available,1.0,0.0,,,,,,,,,,,,Home
pd0400u,Support - Frequency: support with speeches or presentations,,pParent,Home,2267.0,continuous,never; rarely; sometimes; often; TC does not count lectures,1.0,0.0,,,,,,,,,,,,Home
pd0100u,Support - Frequency: talk with TC about books we have read together,,pParent,Home,2268.0,continuous,never; rarely; sometimes; often; do not read together,1.0,0.0,,,,,,,,,,,,Home
p73170y,Date of birth respondent: year,,pParent,Home,2352.0,date_year,,1.0,0.0,,,,,,,,,,,,Home
p400070_g1D,Country of birth Mother Respondent (Germany/abroad; edited),,pParent,Home,1867.0,categorical,Germany; not Germany; Elternteil nicht vorhanden/unbekannt,1.0,0.0,,,,,,,,,,,,Home
p400090_g1D,Country of birth Father Respondent (Germany/abroad; edited),,pParent,Home,1860.0,categorical,Germany; not Germany; Elternteil nicht vorhanden/unbekannt,1.0,0.0,,,,,,,,,,,,Home
p401100,Citizenship Respondent,,pParent,Home,2361.0,categorical,"yes/yes, in the meantime Iíve; no; Question erroneously not asked",1.0,0.0,,,,,,,,,,,,Home
p731801_g1,Highest educational qualification Respondent in Germany (edited),,pParent,Unmapped,2374.0,effect code,"yes; no; no school-leaving qualification; Germany and another country, not",1.0,0.0,,,,,,,,,,,,Unmapped
p731802_g3,Highest educational qualification Respondent (education years = fCASMIN),,pParent,Home,2380.0,continuous,no qualification,1.0,0.0,,,,,,,,,,,,Home
p731813,(Highest) professional qualification Respondent,,pParent,Home,2394.0,categorical,"completed apprenticeship (administrative, company‐based, industrial, agricultural) journey‐ man’s/journeywoman’s certificate, dual vocational education, GDR: craft certificate;
master craftsman/craftswoman, technician certificate;
civil service training (civil service examination);
certificate from a school of public health;
certificate from a Berufsfachschule [vocational school] or a Handelsschule [type of vocational school for commercial professions];
certificate from a Fachschule (also certificate from a Fachakademie [school‐based institutions of profes‐ sional development in Bavaria]);
leaving qualification from a Fachschule in the GDR; Bachelor (e.g. B.A., B.Sc.);
Diploma, Master (M.A.);
Magister, state examination;
doctorate, habilitation;
Berufsakademie [university of cooperative education], cooperative state university without further specifi‐ cation;
college of public administration without further specification;
university of applied sciences, former college of engineering without further specification; university without further specification; higher education degree (degree course) without further specification",1.0,0.0,,,,,,,,,,,,Home
p731901,Employment Respondent,,pParent,Home,2402.0,categorical,full-time employed; part-time employed; in a side job; unemployed,1.0,0.0,,,,,,,,,,,,Home
p731904_g14,Occupation Respondent (ISEI-08),,pParent,Home,2424.0,continuous,,1.0,0.0,,,,,,p731904,1.0,,,,,Home
p731905,Professional status Respondent,,pParent,Home,2430.0,categorical,"worker; employee, also civil service employees; civil servant, including judge, excluding; regular/professional soldier; self-employed; assisting family member; freelancer",1.0,0.0,,,,,,,,,,,,Home
p731912,Management position Respondent,,pParent,Home,2438.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
p731915,Government benefits Respondent,,pParent,Home,2445.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
p731110,Respondentís marital status,,pParent,Home,2446.0,categorical,"married and live with your; married and live apart from; divorced,; widowed,; single,; or do you live in",1.0,0.0,,,,,,,,,,,,Home
p73175y,Year of birth Partner,,pParent,Home,2459.0,date_year,,1.0,0.0,,,,,,,,,,,,Home
p731851,Highest educational qualification Partner in Germany,,pParent,Home,2489.0,effect code,yes; no; no school-leaving qualification,1.0,0.0,,,,,,,,,,,,Home
p731852_g3,Highest educational qualification Partner (education years = fCASMIN),,pParent,Home,2496.0,continuous,no qualification,1.0,0.0,,,,,,,,,,,,Home
p731951,Employment Partner,,pParent,Home,2518.0,categorical,full-time employed; part-time employed; in a side job; unemployed,1.0,0.0,,,,,,,,,,,,Home
p731955,Professional status Partner,,pParent,Home,2547.0,categorical,"worker; employee, also civil service employees; civil servant, including judge, excluding; regular/professional soldier; self-employed; assisting family member; freelancer",1.0,0.0,,,,,,,,,,,,Home
p731965,Government benefits Partner,,pParent,Home,2562.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
p413050,Bilinguality Interviewed parent (auto variable),,pParent,Home,2577.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
p410040,German language Child (auto variable),,pParent,Student,2589.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
p410050,Bilingualism Child (auto variable),,pParent,Student,2590.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
p414050,Bilingualism Partner (auto variable),,pParent,Home,2598.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
p34001a_g1,"Frequency reading - free time, working day (summarized)",,pParent,Home,2684.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p34001c_g1,"Frequency reading - free time, non-working day (summarized)",,pParent,Home,2686.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p742001,Persons under the age of 14 in the household,,pParent,Home,2700.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p286711,Satisfaction school - school hours,,pParent,Home,2721.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,,Home
p286712,Satisfaction school - equipment and rooms,,pParent,Home,2722.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,,Home
p286713,Satisfaction school - meet childís needs,,pParent,Home,2723.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,,Home
p286714,Satisfaction school - performance demands,,pParent,Home,2724.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,,Home
p286715,Satisfaction school - general,,pParent,Home,2725.0,continuous,does rather not apply; does rather apply; does apply,1.0,0.0,,,,,,,,,,,,Home
p751001_g1,Place of residence (west/east),,pParent,Home,2726.0,categorical,West Germany; East Germany incl. Berlin; abroad; changing locations,1.0,0.0,,,,,,,,,,,,Home
t523010,Days absent due to illness,,pTarget,Student,3464.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
t291300,Filter question: Transition from elementary school,,pTarget,Student,3466.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Student
t292301,"Comparison to elementary school, lessons are more fun",,pTarget,Student,3467.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t292302,"Comparison to elementary school, feel more comfortable in new class",,pTarget,Student,3468.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t292303,"Comparison to elementary school, like classmates more",,pTarget,Student,3469.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t292304,"Comparison to elementary school, Iím more popular",,pTarget,Student,3470.0,continuous,does not apply at; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t292305,"Comparison to elementary school, subjects are easier",,pTarget,Student,3471.0,continuous,does not apply at all; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t292306,"Comparison to elementary school, I like teachers more",,pTarget,Student,3472.0,continuous,does not apply at; does rather not apply; does partly apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
t34006i,HOMEPOS: own books,,pTarget,Home,3473.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t66003a_g1,Global self-esteem,,pTarget,Student,6337.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
t27111s,"Courses outside School: other courses, specifically:",,pTarget,Student,3477.0,effect code,not specified; specified,1.0,0.0,,,,,,,,,,,,Student
t283621,"Student: homework, parental support, checking",,pTarget,Home,4132.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t283622,"Student: homework, parental support, having time",,pTarget,Home,4133.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t283623,"Student: homework, parental support, making sure homework is done",,pTarget,Home,4134.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t284624,"Student: homework, parental support, help with bad grades",,pTarget,Home,4135.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t285627,"Student: homework, parental support, expectation",,pTarget,Home,4136.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t284625,"Student: homework, parental support, encouragement",,pTarget,Home,4137.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t284626,"Student: homework, parental support, talk",,pTarget,Home,4138.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t285628,"Student: homework, parental support, understand subject matter",,pTarget,Home,4139.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t285629,"Student: homework, parental support, expect. regard. studying for class tests",,pTarget,Home,4140.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Home
t281600,"Student: homework, duration",,pTarget,Student,4147.0,continuous,less than half an hour; about half an hour to; about 1 to 2 hours; about 2 to 3 hours; about 3 to 4 hours; more than 4 hours per,1.0,0.0,,,,,,,,,,,,Student
t28161a,"Student: homework, frequency help from parents",,pTarget,Home,4148.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,,Home
t28161b,"Student: homework, frequency help from siblings",,pTarget,Home,4149.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,,Home
t28161c,Student: homework: frequency help from friends/classmates,,pTarget,Pedagogical,4150.0,continuous,never; rarely; sometimes; often; always; does not apply to me,1.0,0.0,,,,,,,,6.0,,,,Pedagogical
t31035a,Idealistic educational aspiration - highest school-leaving qualification,,pTarget,Student,4153.0,categorical,Hauptschulabschluss; Realschulabschluss/Mittlere Reife; Abitur; Leave school without qualification,1.0,0.0,,,,,,,,,,,,Student
td0001a,Learning how to spell interesting,,pTarget,Student,4159.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
td0001b,Spelling is difficult,,pTarget,Student,4160.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
td0002a_v1,Time required learning spelling,,pTarget,Student,4161.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,,Student
td0002b_v1,Importance spelling performance for school-leaving qualification,,pTarget,Student,4163.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,,Student
td0002c_v1,Importance spelling performance for profession,,pTarget,Student,4165.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,,Student
td0002d_v1,Importance spelling performance for private life,,pTarget,Student,4167.0,continuous,not at all; rather not; rather; very,1.0,0.0,,,,,,,,,,,,Student
td0003a,Grade for next dictation is going to be good,,pTarget,Student,4169.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
td0003b,Spelling when writing texts good,,pTarget,Student,4170.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply,1.0,0.0,,,,,,,,,,,,Student
td0004a_v1,Spelling more difficult than for classmates,,pTarget,Student,4171.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0004b_v1,Spelling more difficult than understanding texts,,pTarget,Student,4173.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0004c_v1,Spelling more difficult than writing texts,,pTarget,Student,4175.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0004d_v1,Spelling more difficult than grammar,,pTarget,Student,4177.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0005a,Spelling - learning - good grade,,pTarget,Student,4179.0,continuous,very little; rather little; rather much; very much,1.0,0.0,,,,,,,,,,,,Student
td0005b,Spelling - learning - good German grade,,pTarget,Student,4180.0,continuous,very little; rather little; rather much; very much,1.0,0.0,,,,,,,,,,,,Student
td0006a_v1,Spelling words correctly: Rules,,pTarget,Student,4181.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0006b_v1,Spelling words correctly: Pronounce clearly to myself,,pTarget,Student,4183.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0006c_v1,Spelling words correctly: Write by heart,,pTarget,Student,4185.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0006d_v1,Spelling words correctly: Guess,,pTarget,Student,4187.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0006e_v1,Spelling words correctly: Refer to dictionary,,pTarget,Student,4189.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
td0006f_v1,Spelling words correctly: Computer spell checking,,pTarget,Student,4191.0,continuous,completely disagree; rather disagree; rather agree; completely agree,1.0,0.0,,,,,,,,,,,,Student
t34010a,Discussions with father/mother: books,,pTarget,Home,4258.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Home
t34010b,Discussions with father/mother: movies or TV shows,,pTarget,Home,4259.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Home
t34010c,Discussions with father/mother: political or social issues,,pTarget,Home,4260.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Home
t34010d,Discussions with father/mother: artwork or art in general,,pTarget,Home,4261.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Home
t34006a,HOMEPOS: desk,,pTarget,Home,4262.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006b,HOMEPOS: room,,pTarget,Home,4263.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006c,HOMEPOS: learning software,,pTarget,Home,4264.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006e,HOMEPOS: books with poems,,pTarget,Home,4266.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006f,HOMEPOS: works of art (e.g. paintings),,pTarget,Home,4267.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006g,HOMEPOS: books for homework,,pTarget,Home,4268.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34006h,HOMEPOS: dictionary,,pTarget,Home,4269.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t34001a,Frequency reading - school day,,pTarget,Student,4271.0,continuous,Ö not at all outside; Ö up to half an; Ö between half an hour; Ö 1 to 2 hours.; Ö more than 2 hours.,1.0,0.0,,,,,,,,,,,,Student
t34001c,Frequency reading - non-school day,,pTarget,Student,4272.0,continuous,Ö not at all.; Ö up to half an; Ö between half an hour; Ö 1 to 2 hours.; Ö more than 2 hours.,1.0,0.0,,,,,,,,,,,,Student
t34002a,"Frequency reading (genre): detective novels, thrillers, horror or fantasy",,pTarget,Student,4273.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34002b,Frequency reading (genre): classic literature,,pTarget,Student,4274.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34002c,Frequency reading (genre): nonfiction books,,pTarget,Student,4275.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34002d,Frequency reading (genre): comics,,pTarget,Student,4276.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34002e,_g1 Frequency reading (genre): youth literature,,pTarget,Student,4229.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34003a,Frequency reading (periodicals): local newspaper,,pTarget,Student,4278.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34003b,"Frequency reading (periodicals): tabloids (such as BILD, BZ)",,pTarget,Student,4279.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34003c,Frequency reading (periodicals): youth pages in other supraregional papers,,pTarget,Student,4280.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34003d,"Frequency reading (periodicals): magazines (such as SPIEGEL, FOCUS Schule)",,pTarget,Student,4281.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34003e,"Frequency reading (periodicals): other youth magazines (such as Bravo, Popcorn)",,pTarget,Student,4282.0,continuous,never or seldom; several times a month; once a week; several times a week; daily,1.0,0.0,,,,,,,,,,,,Student
t34005a,Number of books,,pTarget,Home,4283.0,continuous,0 to 10 books; 11 to 25 books; 26 to 100 books; 101 to 200 books; 201 to 500 books; more than 500 books,1.0,0.0,,,,,,,,,,,,Home
t41010a_g1,Mother: Mother tongue (number of specifications),,pTarget,Home,4419.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,,Home
t41012a_g1,Father: Mother tongue (number of specifications),,pTarget,Home,4432.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,,Home
t410010_g1,Second language (number of specifications),,pTarget,Student,4710.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,,Student
t41000a_g1,Mother tongue (number references),,pTarget,Student,5076.0,continuous,5 and more,1.0,0.0,,,,,,,,,,,,Student
t400500_g1v1,Generation status,,pTarget,Student,5862.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,,Student
t400500_g1,v1 Generation status,,pTarget,Student,5862.0,continuous,no migrant background; 1st generation; 1.5th generation; 2nd generation; 2.25th generation; 2.5th generation; 2.75th generation; 3rd generation; 3.25th generation; 3.5th generation,1.0,0.0,,,,,,,,,,,,Student
t400500_g2,v1 Missing/contradicting imformation about country of birth for generation status,,pTarget,Student,5864.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,,Student
t521000,Self-rated health,,pTarget,Student,6606.0,continuous,very good; good; moderate; poor; very poor,1.0,0.0,,,,,,,,,,,,Student
t74305a,"Household composition: biological, adoptive, foster mother",,pTarget,Home,6091.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305b,Household composition: stepmother or fatherís girlfriend,,pTarget,Home,6092.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305c,"Household composition: biological father, adoptive father, foster father",,pTarget,Home,6093.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305d,Household composition: stepfather or motherís boyfriend,,pTarget,Home,6094.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305e,Household composition: siblings and/or step siblings,,pTarget,Home,6095.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305f,Household composition: grandmother and/or grandfather,,pTarget,Home,6096.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t74305g,Household composition: other people,,pTarget,Home,6097.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Home
t741002,Size of household,,pTarget,Home,6098.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
t724101,Grade Annual report card - German,,pTarget,Student,6100.0,continuous,very good (1); good (2); satisfactory (3); sufficient (4); inadequate (5); unsatisfactory (6); no grade received,1.0,0.0,,,,,,,,,,,,Student
t724102,Grade Annual report card - Mathematics,,pTarget,Student,6101.0,continuous,very good (1); good (2); satisfactory (3); sufficient (4); inadequate (5); unsatisfactory (6); no grade received,1.0,0.0,,,,,,,,,,,,Student
t261000,Student: sport activity: frequency,,pTarget,Student,5089.0,continuous,never; once a month or less; several times a month or; several times a week; almost daily or daily,1.0,0.0,,,,,,,,,,,,Student
t269000,Student: sport activity: where/what,,pTarget,Student,6298.0,categorical,"Club;
School (outside classes such as sport workshop);
Riding school, tennis school, martial arts school, dancing school, gym or similar;
Volkshochschule (VHS);
Togetherwithothers,but not in an organization; By myself; Filtered",1.0,0.0,,,,,,,,,,,,Student
t27111a,Students: courses outside the school: music school classes,,pTarget,Student,6299.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,,Student
t27111b,Courses outside the school - Volkshochschule (VHS),,pTarget,Student,6301.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,,Student
t27111c,Course; youth art school,,pTarget,Student,6303.0,effect code,"yes, namely [open]; no",1.0,0.0,,,,,,,,,,,,Student
t731130,Role of mother,,pTarget,Home,3474.0,categorical,"my biological mother; my stepmother;
my adoptive mother; my foster mother; my father’s girlfriend;
another woman;
I don’t have a mother(anymore)/I don’t know her;
I don’t have a mother (anymore)/I don’t know her",1.0,0.0,,,,,,,,,,,,Home
t731140,Role of father,,pTarget,Home,3475.0,categorical,"my biological father; my stepfather;
my adoptive father;
my foster father;
my mother’s boyfriend;
another man;
I don’t have a father (anymore)/I don’t know him;
I don’t have a father (anymore)/I don’t know him",1.0,0.0,,,,,,,,,,,,Home
t66000a_g1,Self concept: German,,pTarget,Student,6364.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
t66001a_g1,Self concept: math,,pTarget,Student,6368.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
t66002a_g1,Self concept school,,pTarget,Student,6372.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
t700031,Gender,,pTarget,Student,5128.0,effect code,[m] male; [w] female,1.0,0.0,,,,,,,,,,,,Student
t514001,Satisfaction with life,,pTargetCORONA,Student,2747.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,,Student
t514002,Satisfaction with standard of living,,pTargetCORONA,Student,2748.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,,Student
t514003,Satisfaction with health,,pTargetCORONA,Student,2749.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,,Student
t514004,Satisfaction with family life,,pTargetCORONA,Student,2750.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,,Student
t514005,Satisfaction with acquaintances and friends,,pTargetCORONA,Student,2751.0,continuous,0 completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 completely satisfied,1.0,0.0,,,,,,,,,,,,Student
t514006,Satisfaction with school,,pTarget,Student,5141.0,continuous,completely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; completely satisfied,1.0,0.0,,,,,,,,,,,,Student
dgg5_sc3a,DGCF (perceptual speed): sum,,xTargetCompetencies,Student,9015.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
dgg5_sc3b,DGCF (reasoning): sum,,xTargetCompetencies,Student,9017.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
mag5_sc1,u Mathematical competence: WLE (uncorrected),,xTargetCompetencies,Student,9018.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
reg5_sc1u,Reading comprehension: WLE,,xTargetCompetencies,Baseline,9113.0,continuous,,1.0,0.0,,,,,,,,,,,,Baseline
rsg5_sc3,Reading speed sum,,xTargetCompetencies,Student,9172.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
org5_sc1b,Orthography (set 2): WLE (corrected),,xTargetCompetencies,Student,9388.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
mpg5re_sc6,Procedural metacognition (reading total): proportion correct,,xTargetCompetencies,Student,9029.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
mpg5ma_sc6,Procedural metacognition (mathematics): proportion correct,,xTargetCompetencies,Student,9048.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
mpg5or01_sc6,Procedural metacognition (orthography set 1): proportion correct,,xTargetCompetencies,Student,9052.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
p71202,Date of first Kindergarten attendance (combined month/year),,pParent,Student,2168.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
p71203,Date enrollment target child (combined month/year),,pParent,Student,2171.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
p72802,Date of determination of special educational needs (combined month/year),,pParent,Student,2217.0,continuous,,1.0,0.0,,,,,,,,,,,,Student
p40003,Date of respondentís move to Germany (combined month/year),,pParent,Home,2356.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p40113,Date when respondent obtained German citizenship (combined month/year),,pParent,Home,2363.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p73111,Start living together with partner (combined month/year),,pParent,Home,2454.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
p40403,"Acquisition German citizenship Partner, date (combined month/year)",,pParent,Home,2481.0,continuous,,1.0,0.0,,,,,,,,,,,,Home
td0036,"Teacher summarize, draws attention, explains connections",,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
teacher_changed_state,the change of state for the teachers - whether they have ever changed the states (1) or not (0),,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
dob_in_days_at_Target_survey,DOB (days),,created,Student,,continuous,,1.0,0.0,,,,,,,,,,,,Student
p34009,Participation in high culture (parent),,created,Home,,continuous,,1.0,0.0,,,,,,,,,,,,Home
td0034,Percieved teacher autonomy,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
t34009,Participation in high culture (student),,created,Student,,continuous,,1.0,0.0,,,,,,,,,,,,Student
td0042,Attitudes towards reading,,created,Student,,continuous,,1.0,0.0,,,,,,,,,,,,Student
td0033,German teacher expectations,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1010,Teacher collaboration,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
td0032,German teacher organisation of learning,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
td0035,German teacher prom. interaction,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
td0043,Self concept reading,,created,Student,,continuous,,1.0,0.0,,,,,,,,,,,,Student
td0041,Social reading habits,,created,Student,,continuous,,1.0,0.0,,,,,,,,,,,,Student
ed1011_pos,Positive attitudes towards profession,,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
teacher_stress_factors_avg,"stress factor of teachers, an average of ed1009b and ed1009c",,created,Pedagogical,,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
